目标院校,学院,目标院校可申请专业,院校背景要求,专业背景要求,GPA要求 四分制或百分制,语言要求,实习实践（背景提升）要求,实习实践（背景提升）要求-中文,作品集要求
达特茅斯学院Dartmouth College,Department of Computer Science计算机工程学院,Master of Computer Science with a Concentration in Digital Arts计算机科学之数字艺术,无名单限制,所有学生都将成功完成四年制学院/大学的本科学位。所有学生必须完成达特茅斯的CS1和CS10课程，成绩为B+或更高。学生还应至少主修或辅修其中一个领域，我们认为是视觉计算和数字艺术的基础领域。这些包括但不限于：计算机科学、数字艺术、工程、工作室艺术/设计、计算机动画/建模、计算摄影、物理或数学、建筑,官网无要求，建议GPA接近满绩,IELTS 7.0 + TOEFL 100 + Duolinguo 135+,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,申请计算机科学硕士并专注于数字艺术的学生需要分享他们的作品集链接
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Design Studies (MDes)设计研究,无名单限制,官网无要求,官网无要求，建议GPA接近满绩,Above TOEFL 104 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Education教育学院,"Ed.M. Learning Design, Innovation, and Technology学习设计、创新与技术",无名单限制,官网无要求,官网无要求，建议GPA接近满绩,TOEFL 104/26,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,无作品集要求
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Design Engineering (MDE)设计工程,无名单限制,限设计、工程、科学、社会科学、或其它相关本科背景,官网建议GPA 3.6-3.9,TOEFL 104/26,拥有至少两年工程、设计、商业、政府或其他领域的专业经验；具有技术能力和多学科设计兴趣,拥有至少两年工程、设计、商业、政府或其他领域的专业经验；具有技术能力和多学科设计兴趣,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture I/IAP建筑学,无名单限制,March I：已完成任何领域（建筑学或其他）四年制文学学士学位或理学学士学位的个人有资格入读专业学位课程第一学期。 March I AP：完成专业四年制建筑或环境设计专业文学学士学位或理学学士学位的个人可能有资格以高级资格入学，但须经招生委员会审查。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture II建筑学,无名单限制,建筑硕士 II (MArch II) 课程是一个后专业学位，面向已完成五年建筑学本科专业课程或同等学历的个人。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture in Urban Design城市设计,无名单限制,城市设计建筑硕士 (MAUD) 课程面向已完成五年建筑学本科专业课程或同等课程的个人。强烈建议拥有两到三年的专业实践经验。您将被要求在申请的简历选项卡上提供有关您的工作经验的信息。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Landscape Architecture I/IAP景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Landscape Architecture II 景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Education教育学院,Ed.M. with a concentration in Arts and Learning教育学-艺术与教育方向,无名单限制,官网无要求,官网无要求，建议GPA接近满绩,TOEFL 104/26,在简历中明确申请的方向（Arts and Learning）罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中明确申请的方向（Arts and Learning）罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,无作品集要求
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Urban Planning城市规划,无名单限制,官网无要求,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Landscape Architecture in Urban Design景观城市设计,无名单限制,城市设计建筑硕士 (MAUD) 课程面向已完成四年景观建筑本科专业课程或同等课程的个人。强烈建议拥有两到三年的专业实践经验。您将被要求在申请的简历选项卡上提供有关您的工作经验的信息。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,无作品集要求
康奈尔大学Cornell University,Department of Art艺术系,MFA in Creative Visual Arts创意视觉艺术,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.8,"TOEFL 77+(S: 22, R: 20, L: 15, W: 20) IELTS 7.0+",在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,cornell AAP Architecture ART planning建筑/艺术/规划学院,Master of Architecture (Professional)建筑学,无名单限制,持有专业建筑学学士学位 (B.Arch.) 或专业建筑学硕士学位 (M.Arch.) 的学生可以被录取为专业 MS AAD 项目的候选人。,官网无明确要求，建议GPA高于3.5,TOEFL 100 IELTS 7.0+(7.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,cornell AAP Architecture ART planning建筑/艺术/规划学院,"Master of Science, Design Technology设计技术",无名单限制,持有专业建筑学学士学位 (B.Arch.) 或专业建筑学硕士学位 (M.Arch.) 的学生可以被录取为专业 MS AAD 项目的候选人。,官网无明确要求，建议GPA高于3.6,TOEFL 100 IELTS 7.0+(7.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,cornell AAP Architecture ART planning建筑/艺术/规划学院,"Post-Professional Master of Science, Advanced Architectural Design高级建筑设计",无名单限制,持有专业建筑学学士学位 (B.Arch.) 或专业建筑学硕士学位 (M.Arch.) 的学生可以被录取为专业 MS AAD 项目的候选人。,官网无明确要求，建议GPA高于3.7,TOEFL 100 IELTS 7.0+(7.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,College of Agriculture and Life Sciences农业与生命科学学院,Master of Landscape Architecture景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA高于3.5,TOEFL 89 (R22/W22/L20/S25) IELTS 7.2,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,College of Agriculture and Life Sciences农业与生命科学学院,Dual Master's Degree in Landscape Architecture and Regional Planning景观建筑与规划,无名单限制,可跨专业申请,官网无明确要求，建议GPA高于3.6,TOEFL 89 (R22/W22/L20/S25) IELTS 7.1,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,College of Agriculture and Life Sciences农业与生命科学学院,Master of Professional Studies in Landscape Architecture景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA高于3.7,TOEFL 89 (R22/W22/L20/S25) IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,Jacobs Technion-Cornell Institute雅各布技术-康奈尔研究院,Master of Science in Applied Information Science (Technion) & Master of Science Information Systems (Cornell) with a Concentration in Connective Media应用信息科学和信息系统-连接媒体,无名单限制,接受跨专业，倾向工程、机械、数学、经济、物理科学、量化科学专业学生,官网无要求，建议GPA不低于3.8,TOEFL 100+(S22/R20/L15/W20) IELTS 7.0,无特殊要求，但建议有交互设计实习实践经历,无特殊要求，但建议有交互设计实习实践经历,不限项目数
康奈尔大学Cornell University,Jacobs Technion-Cornell Institute雅各布技术-康奈尔研究院,Master of Science in Applied Information Science (Technion) & Master of Science Information Systems (Cornell) with a Concentration in Health Tech应用信息科学和信息系统-健康科技,无名单限制,接受跨专业，倾向工程、机械、数学、经济、物理科学、量化科学专业学生,官网无要求，建议GPA不低于3.9,TOEFL 100+(S22/R20/L15/W20) IELTS 7.1,无特殊要求，但建议有交互设计实习实践经历,无特殊要求，但建议有交互设计实习实践经历,不限项目数
康奈尔大学Cornell University,Jacobs Technion-Cornell Institute雅各布技术-康奈尔研究院,Master of Science in Applied Information Science (Technion) & Master of Science Information Systems (Cornell) with a Concentration in Urban Tech应用信息科学和信息系统-城市科技,无名单限制,接受跨专业，倾向工程、机械、数学、经济、物理科学、量化科学专业学生,官网无要求，建议GPA不低于3.10,TOEFL 100+(S22/R20/L15/W20) IELTS 7.2,无特殊要求，但建议有交互设计实习实践经历,无特殊要求，但建议有交互设计实习实践经历,不限项目数
康奈尔大学Cornell University,Department of Information Science信息科学系,MPS in information Science信息科学,无名单限制,接受跨专业，但需要在大学期间修读过编程课且B等以上成绩,官网要求GPA至少3.2，建议GPA不低于3.8,TOEFL SRLW 22/20/15/20 IELTS 7.0,无特殊要求，但建议有交互设计实习实践经历,无特殊要求，但建议有交互设计实习实践经历,不限项目数
康奈尔大学Cornell University,College of Human Ecology人类生态学院,MA in Design 设计,无名单限制,具有室内设计、建筑或产品设计专业的本科学历,官网无明确要求，建议gpa高于3.7,TOEFL: 105（22) IELTS: 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,College of Human Ecology人类生态学院,MA in Apparel Design 服装设计,无名单限制,可跨专业申请,官网无明确要求，建议gpa高于3.7,"TOEFL: 100（W20, L15, R20, S26）, IELTS: 7.0",在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数，10mb
康奈尔大学Cornell University,College of Human Ecology人类生态学院,M.S. in Human Environment Relations人类关系环境,无名单限制,可跨专业申请，学生通常拥有心理学、建筑学或室内设计的本科学位,官网无明确要求，建议gpa高于3.7，GRE310,TOEFL: 105（W20，L15，R20，S22) IELTS: 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,无特殊要求，但建议有实习实践经历,不要求作品集
康奈尔大学Cornell University,cornell AAP Architecture ART planning建筑/艺术/规划学院,"Post-Professional Master of Science, Advanced Urban Design 高级城市设计",无名单限制,面向拥有专业建筑学学士学位、专业建筑学硕士学位或相关设计领域专业学位（如 MLA、MUD）的个人。拥有相关设计领域专业学位或终端学位（如 MFA）的学生也将受到考虑。,官网无明确要求，建议GPA高于3.5,TOEFL 100 IELTS 7.0+(7.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数，20页，20mb
康奈尔大学Cornell University,cornell AAP Architecture ART planning建筑/艺术/规划学院,Design Technology: Studio M.S. (Ithaca/Cornell Tech (NYC))设计科技：工作室,无名单限制,拥有建筑、设计学科、工程、生物或材料科学或计算机科学本科或研究生学位的学生可能是设计技术课程的候选人。,官网无明确要求，建议GPA高于3.5,TOEFL 100 IELTS 7.0+(7.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数，20mb
康奈尔大学Cornell University,cornell AAP Architecture ART planning建筑/艺术/规划学院,City and Regional Planning M.R.P. (Ithaca)城市和区域规划,无名单限制,可跨专业申请,官网无明确要求，建议GPA高于3.7,TOEFL 100 IELTS 7.0+(7.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不要求作品集
康奈尔大学Cornell University,cornell AAP Architecture ART planning建筑/艺术/规划学院,Master of Fine Arts in Image Text图像文本,无名单限制,接受跨专业申请，建议写作、摄影、电影/视频、数字和工作室艺术实践背景,官网无明确要求，建议GPA高于3.7,仅接受美国身份的申请人，无语言要求,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数，20页
麻省理工学院Massachusetts Institute of Technology,School of Architecture + Planning建筑与规划学院,Media Arts and Sciences (MAS) - Master's level媒体艺术与科学,无名单限制,官网无要求,官网无要求，建议GPA接近满绩,TOEFL 94 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
麻省理工学院Massachusetts Institute of Technology,School of Architecture + Planning建筑与规划学院,"Master of science in art, Culture, and Technology艺术、文化与技术",无名单限制,推荐艺术或理科背景,官网无要求，建议GPA接近满绩,TOEFL 100 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
麻省理工学院Massachusetts Institute of Technology,School of Architecture + Planning建筑与规划学院,Master of Architecture建筑学,无名单限制,已经拥有建筑学学士学位或建筑硕士学位 有建筑学士学位2年 没有的3年,官网无明确要求，建议GPA高于3.4,IELTS 7.0 +（推荐） TOEFL 100 +,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
麻省理工学院Massachusetts Institute of Technology,School of Architecture + Planning建筑与规划学院,Master of Science of Architecture Studies建筑研究,无名单限制,已经拥有建筑学学士学位或建筑硕士学位 有建筑学士学位2年 没有的3年,官网无明确要求，建议GPA高于3.5,IELTS 7.0 +（推荐） TOEFL 100 +,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
麻省理工学院Massachusetts Institute of Technology,School of Architecture + Planning建筑与规划学院,Master of Science in Building Technology建筑技术,无名单限制,推荐工科、数理、建筑背景,官网无要求，建议GPA接近满绩,TOEFL 100 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
麻省理工学院Massachusetts Institute of Technology,School of Architecture + Planning建筑与规划学院,"Master of Science in History, Theory and Criticism of Architecture and Art建筑与艺术历史、理论和批评",无名单限制,推荐艺术或文科背景,官网无要求，建议GPA接近满绩,TOEFL 100 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
麻省理工学院Massachusetts Institute of Technology,Department of Urban Studies and Planning麻省理工学院城市研究与规划系,Master in City Planning (MCP)城市规划硕士,无名单限制,推荐公共政策、城市设计和规划、建筑、经济学、政治学和工程学,官网无要求，建议GPA接近满绩,TOEFL 100 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,作品集选择性提交
麻省理工学院Massachusetts Institute of Technology,Department of Urban Studies and Planning麻省理工学院城市研究与规划系,Master of Science in Urban Studies and Planning (SM)城市研究与规划,无名单限制,推荐公共政策、城市设计和规划、建筑、经济学、政治学和工程学,官网无要求，建议GPA接近满绩,TOEFL 100 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,作品集选择性提交
麻省理工学院Massachusetts Institute of Technology,Department of Urban Studies and Planning麻省理工学院城市研究与规划系,Master of Science in Transportation (MST)交通理学硕士,无名单限制,推荐公共政策、城市设计和规划、建筑、经济学、政治学和工程学,官网无要求，建议GPA接近满绩,TOEFL 100 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,作品集选择性提交
麻省理工学院Massachusetts Institute of Technology,"School of Humanities,Arts and Social Sciences人文与科学学院",Comparative Media Studies - Education比较媒体研究-教育,无名单限制,官网无要求,官网无要求，建议GPA接近满绩,TOEFL 94 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
麻省理工学院Massachusetts Institute of Technology,"School of Humanities,Arts and Social Sciences人文与科学学院",Comparative Media Studies - Science Writing比较媒体研究-科学写作,无名单限制,官网无要求,官网无要求，建议GPA接近满绩,TOEFL 94 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
斯坦福大学Stanford University,Stanford Design Program设计系,MS Design设计,无名单限制,"需要本科学位是bachelor of science,不接受本科是艺术学学位的申请人，不需要本科是设计背景",官网无要求，建议GPA接近满绩,TOEFL 100,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,3 – 5 年行业工作经验,不限项目数
斯坦福大学Stanford University,School of Humanities and Sciences人文与科学学院,MFA in Art Practice and Documentary Film and Video纪录电影制作,无名单限制,接受跨专业,建议3.8+,TOEFL 100,至少1年相关实习经历,至少1年相关实习经历,1篇学术论文5-8页+15分钟以内作品视频
斯坦福大学Stanford University,Department of Communication传媒系,M.A. in Journalism新闻,无名单限制,接受跨专业,官网无要求，建议接近满绩,建议TOEFL110+,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,三个新闻样本
斯坦福大学Stanford University,School of Humanities and Sciences人文与科学学院,MFA Art Practice艺术实践,无名单限制,接受跨专业,官网无要求，建议接近满绩,TOEFL 100,至少1年相关实习经历,至少1年相关实习经历,1篇学术论文5-8页+15分钟以内作品视频
斯坦福大学Stanford University,Graduate School of Education教育学院,Learning Design and Technology (MS)学习设计与技术,无名单限制,接受跨专业,官网无要求，建议接近满绩,建议TOEFL110+,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,,作品集选择性提交
加州大学伯克利分校University of California--Berkeley,Department of Art Practice艺术实践系,MFA Art Practice艺术实践,无名单限制,官网无要求,要求大三大四GPA不低于3.0，建议GPA不低于3.5,TOEFL 90+  IELTS 7.0+,无特殊要求，但建议有实习实践经历,无特殊要求，但建议有实习实践经历,不限项目数
加州大学伯克利分校University of California--Berkeley,college of Environmental Design环境设计学院,Master of Architecture建筑学,无名单限制,1.该系对本科预科的领域没有限制。然而， 所需的居住期限的长度、所需的学期课程单元的数量以及所需课程的具体列表可能会根据本科专业、专业和其他工作经验以及以前的研究生学习（如果有）而有所不同。 2。经过认可的建筑学学士或建筑硕士学位,官网无明确要求，建议GPA高于3.5,TOEFL 90 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
加州大学伯克利分校University of California--Berkeley,college of Environmental Design环境设计学院,M.Arch with Advanced Standing高级建筑学,无名单限制,1.该系对本科预科的领域没有限制。然而， 所需的居住期限的长度、所需的学期课程单元的数量以及所需课程的具体列表可能会根据本科专业、专业和其他工作经验以及以前的研究生学习（如果有）而有所不同。 2。经过认可的建筑学学士或建筑硕士学位,官网无明确要求，建议GPA高于3.6,TOEFL 90 IELTS 7.1,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
