目标院校,目标院校可申请专业,主要对口科系（符合专业主要学术方向）,次要可行科系（申请材料与作品集中必须向该专业主要学术方向靠拢，或体现相关技能与认知）,专业匹配说明,爬藤赛道
达特茅斯学院Dartmouth College,Master of Computer Science with a Concentration in Digital Arts计算机科学之数字艺术,数字媒体，交互,游戏，动画,,AT
哈佛大学Harvard University,Master in Design Studies (MDes)设计研究,数字媒体，工业，交互，建筑,景观，游戏，动画，纯艺,主要方向与该项目强调的以研究为驱动、跨学科设计理念高度契合，这些领域整合了数字媒体、工业流程、交互技术与建筑理论，体现前沿设计思维。来自次要方向的申请者应展示其在景观、游戏或纯艺领域的作品如何补充核心方向，通过创新方法和多元创意技能转化，体现严谨的设计研究能力。,DT，AT，DH，AH
哈佛大学Harvard University,"Ed.M. Learning Design, Innovation, and Technology学习设计、创新与技术",数字媒体，交互,工业，游戏,数字媒体与交互设计直接反映了该项目对创新教育技术与以用户为中心学习环境的追求。具有工业设计或游戏设计背景的申请者应突出其在产品设计或互动娱乐方面的专业能力，并说明如何将这些技能应用于推动学习设计的技术创新。,DT，DH
哈佛大学Harvard University,Master in Design Engineering (MDE)设计工程,工业，交互，建筑,数字媒体，游戏,主要方向聚焦工业设计、交互系统及建筑创新，这正是设计工程项目核心挑战的关键要素。来自数字媒体或游戏设计方向的申请者应着重展示其在创造动态数字体验和交互叙事方面的优势，以及如何利用这些技能解决复杂的设计工程问题。,DT，DH，ADB
哈佛大学Harvard University,Master of Architecture I/IAP建筑学,建筑,"景观,城市,室内",专注于建筑领域与该项目严谨的设计理论与实践课程高度契合。申请者需提交能够展示概念发展、技术熟练度及创新设计解决方案的建筑作品集。,DH，DT
哈佛大学Harvard University,Master of Architecture II建筑学,建筑,,强调建筑专业直接反映了该项目对高水平专业实践与复杂设计方法的要求。申请者必须展示对建筑理论与实践的深刻理解，通过作品集呈现技术能力与创意愿景的有机结合。,DH，DT
哈佛大学Harvard University,Master of Architecture in Urban Design城市设计,"城市,建筑",景观,将建筑与景观两个方向整合，完美契合项目跨学科的城市设计理念。申请者应展示如何将建筑形式与环境背景有机融合，以创造出创新且可持续的城市空间设计。,DH，DT
哈佛大学Harvard University,Master in Landscape Architecture I/IAP景观建筑,景观,"建筑,城市",专注于景观设计与该项目对生态、空间与环境设计的重视高度匹配。申请者应展示其在创作具有场地特色、视觉吸引力及生态敏感性的景观设计方案方面的能力。,DH
哈佛大学Harvard University,Master in Landscape Architecture II 景观建筑,景观,,专注于景观设计与该项目对生态、空间与环境设计的重视高度匹配。申请者应展示其在创作具有场地特色、视觉吸引力及生态敏感性的景观设计方案方面的能力。,DH
哈佛大学Harvard University,Ed.M. with a concentration in Arts and Learning教育学-艺术与教育方向,纯艺,平面，动画，数字媒体,,AH
康奈尔大学Cornell University,MFA in Creative Visual Arts创意视觉艺术,纯艺，摄影,数字媒体，平面，动画,本项目注重当代视觉与跨媒介创作，覆盖纯艺、摄影、数字媒体等领域，亦可融入平面或动画的创意思维，要求作品展现艺术实验性与多元化表达。,AD，AH
康奈尔大学Cornell University,Master of Architecture (Professional)建筑学,建筑,"景观,城市,室内",本专业是专业型建筑学位，强调系统性建筑设计与实践，需通过作品展现对空间构成、技术逻辑及批判思维的综合掌握。,DT，DH
康奈尔大学Cornell University,"Master of Science, Design Technology设计技术",建筑，数字媒体，交互，工业,,项目侧重跨领域设计技术研发，涵盖建筑、数字平台、交互体验及工业流程，需展示对前沿技术与创新设计思维的融合运用。,DT，DH
康奈尔大学Cornell University,"Post-Professional Master of Science, Advanced Architectural Design高级建筑设计",建筑,,面向已有建筑基础的申请者，着重深度探索与前沿研究，作品需呈现对建筑理论与复杂设计方法的高水准掌握与应用。,DT，DH
康奈尔大学Cornell University,Master of Landscape Architecture景观建筑,景观,"建筑,城市",项目聚焦景观设计在生态、文化与空间层面的综合实践，需展现对场地环境与可持续策略的深度理解与创意融合。,DH
康奈尔大学Cornell University,Dual Master's Degree in Landscape Architecture and Regional Planning景观建筑与规划,景观,,双学位要求在景观与区域规划上具备多尺度综合视野，需通过案例展示在环境设计与规划策略层面的统筹能力。,DT，DH
康奈尔大学Cornell University,Master of Professional Studies in Landscape Architecture景观建筑,景观,,强调景观设计的专业应用与实践深化，需通过具体项目经验展现对生态策略与设计执行的综合实力。,DH
康奈尔大学Cornell University,Master of Science in Applied Information Science (Technion) & Master of Science Information Systems (Cornell) with a Concentration in Connective Media应用信息科学和信息系统-连接媒体,交互，数字媒体,游戏,聚焦社交平台与数字传播的用户体验，覆盖交互与数字媒体领域，也可结合游戏化思维，需在信息系统与媒体应用中体现创新设计与技术融合。,DT
康奈尔大学Cornell University,Master of Science in Applied Information Science (Technion) & Master of Science Information Systems (Cornell) with a Concentration in Health Tech应用信息科学和信息系统-健康科技,交互，工业,,专注健康科技领域的数字化转型，要求在医疗场景下融合交互及工业设计思维，需通过对人机交互与服务流程的系统化创新来展现综合能力。,DT
康奈尔大学Cornell University,Master of Science in Applied Information Science (Technion) & Master of Science Information Systems (Cornell) with a Concentration in Urban Tech应用信息科学和信息系统-城市科技,城市，交互,建筑,关注城市技术创新，建筑与交互领域相辅相成，需体现对智能城市、数字基础设施及公共体验设计的系统理解与实践。,DT
康奈尔大学Cornell University,MPS in information Science信息科学,交互,工业，数字媒体,信息科学方向重视用户体验、数据可视化及信息架构，也可结合工业设计背景，需在作品中展现对技术与设计思维的融合与应用。,DT
康奈尔大学Cornell University,MA in Design 设计,室内，工业，建筑,交互,该项目覆盖室内、工业及交互设计多重方向，也可结合建筑思维，需通过从用户洞察到成果落地的系统方法，展现创新实践与多元化设计能力。,DT，DH
康奈尔大学Cornell University,MA in Apparel Design 服装设计,时尚,,,DT，DH
康奈尔大学Cornell University,M.S. in Human Environment Relations人类关系环境,建筑，室内，景观，工业,,,DT，DH
康奈尔大学Cornell University,"Post-Professional Master of Science, Advanced Urban Design 高级城市设计",建筑,,,DT，DH
康奈尔大学Cornell University,Design Technology: Studio M.S. (Ithaca/Cornell Tech (NYC))设计科技：工作室,建筑，数字媒体，交互，工业,,,DT，DH
康奈尔大学Cornell University,City and Regional Planning M.R.P. (Ithaca)城市和区域规划,,建筑，景观，城市,,DH
康奈尔大学Cornell University,Master of Fine Arts in Image Text图像文本,摄影，电影，数字媒体，平面，纯艺,,,AT，DT，DH，AH
麻省理工学院Massachusetts Institute of Technology,Media Arts and Sciences (MAS) - Master's level媒体艺术与科学,数字媒体，交互，工业,"游戏，时尚",项目聚焦前沿数字媒体与交互式技术在科学与艺术领域的融合，工业设计背景也能体现对新兴硬件与工程应用的关注，如具备游戏设计经验则可在沉浸式互动和用户体验方面展现创新潜力。,AT，DT
麻省理工学院Massachusetts Institute of Technology,"Master of science in art, Culture, and Technology艺术、文化与技术",数字媒体，交互，纯艺,策展&艺术管理,该项目整合艺术、文化与技术多重视角，数字媒体、交互、纯艺、摄影背景均可从不同维度探讨当代艺术实践，也可结合策展与艺术管理深化对艺术传播和运营的理解。,AT，AH
麻省理工学院Massachusetts Institute of Technology,Master of Architecture建筑学,建筑,"景观,城市,室内",专业型建筑学位，要求扎实的设计理论与实践能力，作品集中需体现对空间构成、材料技术及批判性思维的深入掌握。,DT，DH
麻省理工学院Massachusetts Institute of Technology,Master of Science of Architecture Studies建筑研究,建筑,,强调建筑理论与研究视角的深度拓展，申请者需展示对建筑历史、文化脉络及当代设计议题的批判分析与创新思考。,DT，DH
麻省理工学院Massachusetts Institute of Technology,Master of Science in Building Technology建筑技术,建筑,,,DT
麻省理工学院Massachusetts Institute of Technology,"Master of Science in History, Theory and Criticism of Architecture and Art建筑与艺术历史、理论和批评",建筑,纯艺,,DH，AH
麻省理工学院Massachusetts Institute of Technology,Master in City Planning (MCP)城市规划硕士,城市,建筑，景观,,DH
麻省理工学院Massachusetts Institute of Technology,Master of Science in Urban Studies and Planning (SM)城市研究与规划,城市,建筑，景观，城市,,DH
麻省理工学院Massachusetts Institute of Technology,Master of Science in Transportation (MST)交通理学硕士,城市,建筑，景观，城市,,DT，DH
麻省理工学院Massachusetts Institute of Technology,Comparative Media Studies - Education比较媒体研究-教育,"交互,数字媒体",传媒,,DT，DH
麻省理工学院Massachusetts Institute of Technology,Comparative Media Studies - Science Writing比较媒体研究-科学写作,"动画,数字媒体",传媒,,AH
斯坦福大学Stanford University,MS Design设计,工业，交互,数字媒体 ,注重以人本驱动的创新设计与工程方法，工业和交互背景可通过系统化思维与原型迭代展现跨学科设计领导力。,DT，DH，ADB
斯坦福大学Stanford University,MFA in Art Practice and Documentary Film and Video纪录电影制作,电影,数字媒体,聚焦纪录片与艺术实践，需通过影像叙事、导演与制作等综合能力表达社会议题与个人视角，作品集应体现鲜明的艺术风格与纪实思维。,AH，AT
斯坦福大学Stanford University,M.A. in Journalism新闻,传媒,电影,专注新闻写作、媒体伦理及数字时代报道创新，申请者应展现深度采访、内容策划及多媒体报道的综合能力与思考。,AT
斯坦福大学Stanford University,MFA Art Practice艺术实践,纯艺，摄影,数字媒体，交互,,AT，AH
斯坦福大学Stanford University,Learning Design and Technology (MS)学习设计与技术,数字媒体，交互,工业，游戏,数字媒体与交互设计直接反映了该项目对创新教育技术与以用户为中心学习环境的追求。具有工业设计或游戏设计背景的申请者应突出其在产品设计或互动娱乐方面的专业能力，并说明如何将这些技能应用于推动学习设计的技术创新。,DT，DH
加州大学伯克利分校University of California--Berkeley,MFA Art Practice艺术实践,数字媒体，纯艺，摄影,,项目侧重当代艺术创作与跨媒介表达，数字媒体、纯艺及摄影背景可呈现丰富的视觉叙事与实验性实践。,AT，AH
加州大学伯克利分校University of California--Berkeley,Master of Architecture建筑学,建筑,工业，交互,专业型建筑学位，强调空间设计、结构逻辑与实践创新，也可结合工业或交互领域拓展技术与用户体验。,DT，DH
加州大学伯克利分校University of California--Berkeley,M.Arch with Advanced Standing高级建筑学,建筑,,面向具备建筑基础的申请者，深入培养高级建筑设计与理论研究能力，作品需体现对复杂项目与前沿议题的综合把握。,DT，DH
加州大学伯克利分校University of California--Berkeley,Master of Advanced Architectural Design (MAAD)高级建筑设计,建筑,,针对已有专业背景的建筑师，强调建筑创新与跨学科研究，需在作品中展示对建筑技术、理论及设计前沿的高水平理解。,DT，DH
加州大学伯克利分校University of California--Berkeley,Master of Science in Architecture建筑学,建筑,,研究导向的建筑硕士，关注建筑理论、技术与环境议题的深层探讨，作品应展现严谨的学术思维与设计实践。,DT，DH
加州大学伯克利分校University of California--Berkeley,MLA(first Professional/second professional)景观建筑,景观,,培养景观设计在生态、文化及空间层面的综合能力，无论初学或进阶背景，均需在作品中体现场地与可持续策略的深度运用。,DT，DH
加州大学伯克利分校University of California--Berkeley,Master of Design设计,交互，数字媒体，工业,建筑,项目覆盖交互、数字媒体及工业设计，也可结合建筑思维，要求在用户体验、系统创新与设计实践方面展示多元化能力。,DT
加州大学伯克利分校University of California--Berkeley,Master in Journalism (MJ)新闻,传媒,,注重新闻专业写作、调查报道与媒体伦理，申请者需展现扎实的采编技能与对数字时代新闻创新的理解。,AT，AH
加州大学伯克利分校University of California--Berkeley,Master of City Planning城市规划,建筑，城市,,,DH
加州大学伯克利分校University of California--Berkeley,Master of Urban Design城市设计,建筑，城市,,,DH
卡内基梅隆大学Carnegie Mellon University,Master of Entertainment Technology娱乐技术,游戏，交互，数字媒体,动画,聚焦娱乐与互动技术，游戏、交互、数字媒体背景契合度高，也可融入动画手法，作品应展现多维度的创意与技术融合。,DT，AT
卡内基梅隆大学Carnegie Mellon University,Master of Fine Arts纯艺术,纯艺，摄影,数字媒体,以艺术创作与理论为核心，纯艺及摄影方向能体现多元表现力，若具数字媒体经验可在作品中加入新媒体探索。,AH
卡内基梅隆大学Carnegie Mellon University,MA in Design设计,工业，交互，数字媒体，平面,,涵盖工业、交互、数字媒体与平面设计，注重跨领域设计思维与实践，作品需展现系统化创新与用户洞察。,DT，DH
卡内基梅隆大学Carnegie Mellon University,Master of Integrated Innovation for Products and Services产品与服务综合创新,工业，交互,数字媒体,面向产品与服务创新，工业与交互背景可结合数字媒体手段提升用户体验与商业价值，作品应体现跨学科整合能力。,DT，DH，ADB
卡内基梅隆大学Carnegie Mellon University,Master of Human-Computer Interaction人机交互,工业，交互,游戏，数字媒体,专注人机交互设计与研究，工业与交互背景可为技术与设计融合打下坚实基础，也可结合游戏或数字媒体拓展更丰富的体验。,DT，DH
卡内基梅隆大学Carnegie Mellon University,Master of Educational Technology and Applied Learning Science教育技术与应用学习科学,交互，游戏，数字媒体,,聚焦教育技术与学习科学，交互与游戏方向能提升学习体验设计，如具数字媒体经验可在多感官教学中运用创新手段。,DT，DH
卡内基梅隆大学Carnegie Mellon University,Master of Arts Management艺术管理,策展&艺术管理,,培养艺术与文化机构的管理与运营能力，策展与艺术管理背景可在艺术经济与市场推广方面发挥综合优势。,ADB
卡内基梅隆大学Carnegie Mellon University,MFA Costume Design戏服设计,戏服设计,,关注舞台与影视服装设计的创意与工艺，需在作品中体现角色塑造、材料运用及整体视觉氛围的把控。,DH，AH
卡内基梅隆大学Carnegie Mellon University,MFA Costume Production戏服制作,戏服设计,,侧重戏服制作流程与技术实现，要求对服装工艺、面料特性及舞台呈现有深入理解与实践经验。,DH，AH
卡内基梅隆大学Carnegie Mellon University,MFA Scenic Design舞台设计,舞台,室内，建筑，纯艺,专注舞台美术设计，可结合室内、建筑或纯艺经验深化空间与视觉效果，作品应体现整体氛围塑造与技术实现。,AT
卡内基梅隆大学Carnegie Mellon University,Masters of Global Communication & Applied Translation全球传播与应用翻译,传媒,,聚焦跨文化传播与翻译实践，强调国际化视野与语言技能，需展现对全球传播策略与多语环境的深度理解。,AH
卡内基梅隆大学Carnegie Mellon University,Master of Advanced Architectural Design (MAAD)高级建筑设计-25F暂停招生,建筑,,,DT，DH
卡内基梅隆大学Carnegie Mellon University,Master of Architecture建筑学,建筑,,,DT，DH
卡内基梅隆大学Carnegie Mellon University,Computational Design计算机设计,建筑，交互,,,DT
卡内基梅隆大学Carnegie Mellon University,Master of Science in Sustainable Design可持续设计,建筑，交互，工业,,,DT，DH
卡内基梅隆大学Carnegie Mellon University,Master of Urban Design城市设计,城市,建筑，景观,,DT
卡内基梅隆大学Carnegie Mellon University,Building Performance & Diagnostics建筑性能与分析,建筑,,,DT，DH
卡内基梅隆大学Carnegie Mellon University,Entertainment Industry Management (MEIM)娱乐产业管理,游戏,时尚管理,,ADB
卡内基梅隆大学Carnegie Mellon University,Master of Science in Product Management产品管理,工业，交互,时尚管理,,ADB
卡内基梅隆大学Carnegie Mellon University,Stage & Production Management舞台与制作管理-25F暂停招生,舞台,,,AT
卡内基梅隆大学Carnegie Mellon University,Video & Media Design视频与媒体设计,数字媒体,舞台,,AT
耶鲁大学Yale University,MFA Graphic Design平面设计,平面,,聚焦视觉传达与排版等平面要素，可结合数字媒体探索更丰富的交互与多媒介应用，作品应展示设计策略与创意思维的平衡。,DT，DH
耶鲁大学Yale University,MFA Fine Art纯艺术,纯艺,数字媒体,注重艺术创作与观念表达，若具备数字媒体经验可在当代艺术语言中融入新媒介探索，作品应展现个人艺术视角与技法深度。,AH
耶鲁大学Yale University,Master of Architecture I Professional Degree Program建筑学,建筑,,专业型建筑学位，强调设计实践与空间构成的系统训练，作品集需呈现对建筑技术、材料及批判思维的综合掌握。,DT，DH
耶鲁大学Yale University,Master of Architecture II Post-Professional Design Research建筑学-设计研究,建筑,,面向已有建筑基础的申请者，深化研究与创新实践，需通过作品体现对建筑理论前沿及复杂设计课题的探讨与突破。,DT，DH
耶鲁大学Yale University,Master of Environmental Design环境设计,"建筑,景观,城市",,,DH
耶鲁大学Yale University,MFA Photography摄影,摄影,,侧重摄影艺术与视觉叙事，作品应展现技术娴熟度与概念构思的深度，可结合当代语境进行多元化表达。,AH
耶鲁大学Yale University,MFA Design in Costume Design戏服设计,戏服设计,,强调舞台与影视服装设计的艺术与工艺结合，作品需体现对人物角色塑造、材料选择及整体美学效果的把控。,DH，AH
耶鲁大学Yale University,MFA Design in Set Design舞台设计,舞台,,专注舞台场景与空间氛围塑造，作品需在造型、色彩与结构上展现对戏剧或演出需求的深入理解。,AT
耶鲁大学Yale University,MFA in Stage Management舞台管理,舞台,,聚焦剧场运作与团队协作的综合能力，作品可展示对演出流程规划、技术统筹及艺术把控的综合思维。,DH，ADB
耶鲁大学Yale University,MFA in Technical Design and Production技术设计与美工,舞台,,侧重舞台技术实现与视觉效果统筹，作品需体现对灯光、音效、布景等方面的技术理解与创意运用。,DT，ADB
耶鲁大学Yale University,MFA Directing导演专业,电影,,注重导演视野与创作实践，需在作品中展现叙事能力、调度技巧及艺术风格，体现对影像语言与制作流程的统筹。,AH，ADB
哥伦比亚大学Columbia University,MA Design and Development of Digital Games数字游戏与开发,游戏,数字媒体，交互,关注游戏设计与数字开发，交互与多媒体技术可提升游戏体验与沉浸感，作品应展示创意玩法及技术融合。,DT
哥伦比亚大学Columbia University,MFA in Visual Arts视觉艺术,数字媒体，纯艺，摄影,,注重多媒介创作与当代艺术表达，数字媒体、纯艺或摄影背景均可展现作品在概念与技法上的多元性与深度。,AH，AT
哥伦比亚大学Columbia University,Master of Architecture建筑学,建筑,,专业型建筑学位，强调建筑设计与建造实践，作品需突出对空间形式、材料技术及设计逻辑的综合理解。,DH
哥伦比亚大学Columbia University,M.S Computational Design Practice 计算设计实践,建筑,,运用计算思维驱动建筑与设计创新，作品需体现对数字建模、算法设计及新兴技术在建筑领域的应用。,DT
哥伦比亚大学Columbia University,MS Advanced Architectural Design高级建筑设计,建筑,,面向有建筑基础的申请者，强调高级设计研究与跨学科探索，作品应展现前沿建筑思维及复杂项目的综合应对能力。,"DH,DT"
哥伦比亚大学Columbia University,"The Masters of Science in Critical, Curatorial, and Conceptual Practices建筑批判、策展和概念实践理学硕士",策展&艺术管理,,,AT，AH
哥伦比亚大学Columbia University,MS Advanced Architecture and Urban Design高级建筑和城市设计,"建筑,城市",景观,,"DH,DT"
哥伦比亚大学Columbia University,The Master of Science in Urban Planning城市规划理学硕士,城市,建筑,,DH
哥伦比亚大学Columbia University,The M.S. in Historic Preservation历史保护计划课程的M.S.,建筑,室内,,DH
哥伦比亚大学Columbia University,Master of Arts in Instructional Technology & Media教学技术与媒体,交互，数字媒体，游戏,,面向教育场景的交互与媒体技术，若结合游戏化学习可进一步提升教学创新，作品应呈现对教育需求及技术手段的有效结合。,DT
哥伦比亚大学Columbia University,MA Art Administration艺术管理,策展&艺术管理,,关注艺术机构运营与文化项目策划，作品可展现对艺术市场、策展规划及资源整合的理解与实践能力。,ADB
