科系,可学习方向,未来发展方向
平面,平面设计,平面设计师
平面,品牌设计,品牌设计师; 创意策划; 品牌策略师
平面,数据可视化设计,信息设计师
数字媒体,新媒体艺术,新媒体/跨媒体艺术家; 创意策划; 策展人; 独立艺术家
数字媒体,数据可视化设计,信息设计师
数字媒体,数字装置艺术,新媒体跨媒体艺术家; 创意策划; 策展人; 独立艺术家
数字媒体,虚拟现实,虚拟现实开发工程师; 虚拟体验设计师
交互,用户体验与界面设计,UIUX设计师; 产品设计师; 产品经理
平面,数据可视化设计,信息设计师
交互,数字装置艺术,新媒体/跨媒体艺术家; 创意策划; 策展人; 独立艺术家
交互,服务设计,UIUX设计师; 产品设计师; 产品经理
交互,虚拟现实,虚拟现实开发工程师; 虚拟体验设计师
交互,人机交互,UIUX设计师; 产品设计师
工业,产品设计,产品设计师; 工业设计师
工业,工业工程设计,产品工程师
工业,交通工具设计,交通工具设计师
工业,智能产品设计,产品设计师; 产品经理
动画,2D动画,2D动画师; 动画设计师
动画,3D动画,3D动画师; 动画设计师
动画,定格动画,定格动画师
动画,视觉特效,视觉特效师
游戏,游戏设计,游戏设计师; 关卡设计师; 产品经理
游戏,游戏开发,开发工程师; 软件工程师
游戏,游戏美术,游戏美术师; 概念美术师; 技术美术师
游戏,虚拟现实,虚拟现实开发工程师; 沉浸体验设计师
游戏,用户体验与界面设计,UIUX设计师; 游戏设计师; 产品经理
纯艺,绘画/雕塑/版画,独立艺术家
纯艺,雕塑,独立艺术家
纯艺,新媒体艺术,新媒体/跨媒体艺术家; 创意策划; 策展人; 独立艺术家
纯艺,行为与表演,行为与表演艺术家
策展&艺术管理,展览设计,展览设计师; 策展人
策展&艺术管理,艺术管理,艺术管理者; 文化项目经理
建筑,建筑设计,建筑师
建筑,数字与参数化设计,建筑师; 数字建筑师; BIM专家
建筑,可持续建筑,建筑师; 可持续规划师
景观,景观建筑,景观建筑师
景观,生态与可持续设计,景观建筑师; 可持续规划师
电影,导演与制片,导演; 制片人
电影,实验影像,影像艺术家; 独立艺术家
电影,编剧,编剧
电影,纪录片制作,纪录片导演
戏服设计,剧院戏服,戏服设计师
戏服设计,影视戏服,戏服设计师
舞台,舞台设计,舞台设计师
舞台,戏剧管理,戏剧经理; 舞台设计师
传媒,媒体理论与批评,媒体学者
传媒,数字新闻与影视传播,影视制作人; 内容策划师
室内,室内设计,室内设计师
时尚管理,时尚营销,时尚营销经理; 品牌策略师
时尚管理,时尚零售,时尚零售经理; 品牌经理
时尚管理,时尚设计管理,时尚设计管理者; 创意策划
摄影,摄影,摄影师; 独立艺术家